#Workload;algorithm;train_score;test_score;mase;mae;medae;mape;lambda;r2
SHARCNET-2005-2.swf.gz;tpot;-0.0;-8334.182123109811;0.17344350490242913;8334.182123109811;166.61825488028103;nan;0.29214646032584835;0.6918378713061806
HPC2N-2002-2.2-cln.swf.gz;tpot;-3726.0010212858456;-5312.664411690469;0.19519244160952617;5312.664411690469;210.1253438519527;15790.013303224341;0.19015688746219497;0.8000221872826803
KTH-SP2-1996-2.1-cln.swf.gz;tpot;-261.3987381186496;-3307.2907114763307;0.23531624204659232;3307.2907114763307;200.3699999999999;inf;0.6573996620721625;0.7618658870480531
SDSC-Par-1996-3.1-cln.swf.gz;tpot;-2440.6000075289307;-2952.167762934753;0.23349503265022917;2952.167762934753;222.21490903176135;1351.0656870510986;0.3400515828132419;0.48397174360152095
NASA-iPSC-1993-3.1-cln.swf.gz;tpot;-0.0;-521.6826973684209;0.39816142580869135;521.6826973684209;31.390000000000004;nan;0.7021278649245252;0.29181298029383007
ANL-Intrepid-2009-1.swf.gz;tpot;-267.9445832849793;-1134.3906451394528;0.1667490323689002;1134.3906451394528;84.97583333333341;175.18955501266106;0.27802326576815445;0.6139391834449495
SDSC-SP2-1998-4.2-cln.swf.gz;tpot;-732.2738890827477;-2971.3222516431642;0.26915695786936833;2971.3222516431642;213.37333333333325;inf;0.2746901945108206;0.6574757428635982
SHARCNET-Whale-2006-2.swf.gz;tpot;-0.0;-6419.97665433304;0.11474612664428212;6419.97665433304;420.5597935000733;nan;0.16890119827066158;0.8793617628728181
fh1_workload.swf.gz;tpot;-519.5906553806925;-5311.567280840706;0.15429323570051592;5311.567280840706;4.5;4858.217243855768;0.04158190835848804;0.815135612506622
LPC-EGEE-2004-1.2-cln.swf.gz;tpot;-0.0;-1089.7137311224599;0.19019931638153062;1089.7137311224599;4.097344998559535;nan;0.014547112914682143;0.6179195253059193
LLNL-uBGL-2006-2.swf.gz;tpot;-0.0014566293305548958;-61.46556295954251;0.1416569244514006;61.46556295954251;0.0;nan;0.11416403522800087;0.7803341320296375
DAS2-fs1-2003-1.swf.gz;tpot;-0.0;-572.4160237847699;0.3019914789281927;572.4160237847699;5.687339123423148;inf;0.026396367706837193;0.42243186174373437
LANL-O2K-1999-2.swf.gz;tpot;-0.0;-2779.361437927773;0.343546800862718;2779.361437927773;218.5507034176245;3567.698284589406;0.5641027608109745;0.28465593533663214
DAS2-fs2-2003-1.swf.gz;tpot;-0.0;-640.2766136801541;0.27953561559644746;640.2766136801541;1.0;nan;0.05900715150508047;0.5165298083527032
SDSC-BLUE-2000-4.2-cln.swf.gz;tpot;-1408.3565758251636;-1848.6631791802984;0.26123870806042615;1848.6631791802984;153.8;inf;0.2957187520589783;0.7240317182371261
Sandia-Ross-2001-1.1-cln.swf.gz;tpot;-0.0;-29022.744840133102;0.41376226127269716;29022.744840133102;2107.448325802783;nan;0.22197831174585766;0.4394502859617979
CTC-SP2-1995-2.swf.gz;tpot;-3589.822432135368;-5883.3056537413595;0.3496493382303173;5883.3056537413595;593.1575824327405;inf;0.5711628411346512;0.17395255084412553
LLNL-T3D-1996-2.swf.gz;tpot;-675.3925912459848;-939.5431157855425;0.41313485194602106;939.5431157855425;57.898636285816835;inf;0.7209093488395297;0.4010804660695324
